"Title","UpdatesCount","LatestUpdate.Title","LatestUpdate.CreationDate","LatestUpdate.LegacyName","OldtestUpdate.Title","OldtestUpdate.CreationDate","OldtestUpdate.LegacyName","Id","ParentCategoryTitle"
"Azure Stack HCI","32","2022-04x64 ベース システム用 Azure Stack HCI, version 20H2 サービス スタック更新プログラム (KB5012676)","2022/04/21 21:00:06","KB5012676-AzureHCI1809-RTM-ServicingStackUpdate-X64-TSL-World","2020-12 Cumulative Update for Azure Stack HCI, version 20H2 for x64-based Systems (KB4592441)","2020/12/10 18:00:06","KB4592441-AzureHCI1809-RTM-X64-TSL-World","08db04e7-75f3-4c57-90ee-b6311de7f44b","Windows"
"Microsoft Defender Antivirus","287","Microsoft Defender Antivirus のセキュリティ インテリジェンス更新プログラム - KB2267602 (バージョン 1.363.1568.0)","2022/05/08 1:31:41","","Windows Defender Antivirus マルウェア対策プラットフォームの更新プログラム - KB4052623 (Version 4.18.2001.10)","2020/02/13 23:43:31","","8c3fcc84-7410-4a95-8b89-a166a0190486","Windows"
"Microsoft Defender for Endpoint","7","Microsoft Defender for Endpoint の更新プログラム - KB 5005292 (バージョン 10.8048.22439.1065)","2022/04/03 7:20:57","","Microsoft Defender for Endpoint の更新プログラム - KB 5005292 (バージョン 10.8046.22439.1040)","2022/02/08 12:38:19","","52561474-cdfa-4717-8692-bf8d58abc425","Windows"
"Microsoft Edge","725","Microsoft Edge-x64 ベース エディション (ビルド 99.0.1150.2) の Dev チャネル バージョン 99 Update","2022/05/06 21:00:00","KB0-Dev-RTM-MicrosoftEdge-X64-TSL-World","Microsoft Edge-x86 ベース エディション (ビルド 81.0.416.20) の Beta チャネル バージョン 81 Update","2020/03/02 23:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","69010383-ff55-4227-bd6c-d91c26f2643b","Windows"
"Microsoft Server operating system-21H2","17","2022-04 Microsoft server operating system version 21H2 x64 ベース システム用の累積更新プログラム (KB5012604)","2022/04/12 17:00:06","KB5012604-WindowsServer2022-RTM-UnifiedCumulativeSecurity-X64-TSL-World","2021-08 Microsoft server operating system version 21H2 x64 ベース システム用の累積更新プログラム (KB5005039)","2021/08/10 17:00:07","KB5005039-WindowsServer2022-RTM-UnifiedCumulativeSecurity-X64-TSL-World","71718f13-7324-4b0f-8f9e-2ca9dc978e53","Windows"
"OOBE ZDP","14","Windows 10 for x64-Based Systems 用更新プログラム (KB3122962)","2015/12/15 18:00:00","KB3122962-Win10-RTM-X64-TSL","Windows 8.1 用更新プログラム (KB3021128)","2014/12/09 18:00:00","KB3021128-Win8.1-RTM-X86-TSL","dd78b8a1-0b20-45c1-add6-4da72e9364cf","Windows"
"Server 2022 Hotpatch Category","10","2022-04 Microsoft server operating system version 21H2 x64 ベース システム用の累積更新プログラム (KB5012604)","2022/04/12 17:00:06","KB5012604-WindowsServer2022Hotpatch-RTM-UnifiedCumulativeSecurity-X64-TSL-World","2021-11 ベース システム Hotpatch の Azure Stack HCI, version 21H2 累積セキュリティ Windows Server 2022 Datacenter: Azure Editionx64(KB5007386)","2021/11/09 18:00:06","KB5007386-WindowsServer2022Hotpatch-RTM-UnifiedCumulativeHotpatch-X64-TSL-World","97b08ca0-db59-468d-8c47-0ecaad647997","Windows"
"Surface Hub 2S drivers","0",,,,,,,"b2b5aff0-734b-44e7-9934-48467fcae134","Windows"
"Windows - Client S, version 21H2 and later, Servicing Drivers","0",,,,,,,"5ca5303e-220e-4e91-a758-b67ece7f0e67","Windows"
"Windows - Client S, version 21H2 and later, Upgrade & Servicing Drivers","0",,,,,,,"9f9a6cb8-a74e-4a72-8133-ab941bdb9d8c","Windows"
"Windows - Client, version 21H2 and later, Servicing Drivers","0",,,,,,,"6126d650-7850-48fa-858e-a5256f1e92c4","Windows"
"Windows - Client, version 21H2 and later, Upgrade & Servicing Drivers","0",,,,,,,"f6858123-8fe9-4e4a-b1cb-008ef0514e51","Windows"
"Windows - Server, version 21H2 and later, Servicing Drivers","0",,,,,,,"11723676-6eb1-4cf6-b86a-6fae8e2d5f1e","Windows"
"Windows - Server, version 21H2 and later, Upgrade & Servicing Drivers","0",,,,,,,"a5515156-b69c-47cc-9dc5-0942be6b3086","Windows"
"Windows 10 and later drivers","0",,,,,,,"05eebf61-148b-43cf-80da-1c99ab0b8699","Windows"
"Windows 10 and later upgrade & servicing drivers","0",,,,,,,"34f268b4-7e2d-40e1-8966-8bb6ea3dad27","Windows"
"Windows 10 Anniversary Update and Later Servicing Drivers","0",,,,,,,"bab879a4-c1af-4b52-9617-0f9ae1286fb6","Windows"
"Windows 10 Anniversary Update and Later Upgrade & Servicing Drivers","0",,,,,,,"0ba562e6-a6ba-490d-bdce-93a770ba8d21","Windows"
