"Title","UpdatesCount","LatestUpdate.Title","LatestUpdate.CreationDate","LatestUpdate.LegacyName","OldtestUpdate.Title","OldtestUpdate.CreationDate","OldtestUpdate.LegacyName","Id","ParentCategoryTitle"
"Azure Stack HCI","49","2021-02 Cumulative Update for Azure Stack HCI, version 20H2 for x64-based Systems (KB4601317)","2023/09/13 5:09:34","KB4601317-AzureHCI1809-RTM-X64-TSL-World","2020-12 Cumulative Update for Azure Stack HCI, version 20H2 for x64-based Systems (KB4592441)","2020/12/10 18:00:06","KB4592441-AzureHCI1809-RTM-X64-TSL-World","08db04e7-75f3-4c57-90ee-b6311de7f44b","Windows"
"EU ブラウザーの選択の更新プログラム (ヨーロッパ向け)","9","悪意のあるソフトウェアの削除ツール - v5.122 (KB890830)","2024/03/12 17:00:00","890830_X86_WIN8TP_MRT_v5.122","悪意のあるソフトウェアの削除ツール - v5.114 (KB890830)","2023/10/11 15:43:33","890830_X86_WIN8TP_MRT_v5.114","4ea8aeaf-1d28-463e-8179-af9829f81212","Windows"
"Microsoft Defender Antivirus","1035","Microsoft Defender Antivirus のセキュリティ インテリジェンス更新プログラム - KB2267602 (バージョン 1.407.543.0) - 現在のチャネル (広範)","2024/03/20 1:45:40","","Windows Defender Antivirus マルウェア対策プラットフォームの更新プログラム - KB4052623 (Version 4.18.2001.10)","2020/02/13 23:43:31","","8c3fcc84-7410-4a95-8b89-a166a0190486","Windows"
"Microsoft Defender for Endpoint","24","Microsoft Defender for Endpoint の更新プログラム - KB 5005292 (バージョン 10.8672.25926.1019)","2024/03/11 8:41:18","","Microsoft Defender for Endpoint の更新プログラム - KB 5005292 (バージョン 10.8049.22439.1084)","2022/07/13 6:41:10","","52561474-cdfa-4717-8692-bf8d58abc425","Windows"
"Microsoft Edge","2263","Microsoft Edge-ARM64 ベース エディション (ビルド 121.0.2277.4) の Dev チャネル バージョン 121 Update","2024/03/19 20:28:47","KB0-Dev-RTM-MicrosoftEdge-ARM64-TSL-World","Microsoft Edge-x86 ベース エディション (ビルド 81.0.416.20) の Beta チャネル バージョン 81 Update","2020/03/02 23:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","69010383-ff55-4227-bd6c-d91c26f2643b","Windows"
"Microsoft Server operating system-21H2","63","2024-03 Microsoft server operating system version 21H2 x64 ベース システム用の累積更新プログラム (KB5035857)","2024/03/12 17:00:08","KB5035857-WindowsServer2022-RTM-UnifiedCumulativeSecurity-X64-TSL-World","2021-08 Microsoft server operating system version 21H2 x64 ベース システム用の累積更新プログラム (KB5005039)","2021/08/10 17:00:07","KB5005039-WindowsServer2022-RTM-UnifiedCumulativeSecurity-X64-TSL-World","71718f13-7324-4b0f-8f9e-2ca9dc978e53","Windows"
"Microsoft Server Operating System-22H2","30","2024-03 x64 ベース システム用 Microsoft server operating system, version 22H2 の累積更新プログラム (KB5035857)","2024/03/12 17:00:06","KB5035857-ASZOS22H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","2022-10 .NET Framework 3.5 および 4.8 の累積的な更新プログラム (x64 向け Microsoft server operating system, version 22H2 用) (KB5018541)","2022/10/11 17:00:00","KB5018541-DotNetCumulative-ASZ22H2-Server-x64-Retail","2c7888b6-f9e9-4ee9-87af-a77705193893","Windows"
"Microsoft Server Operating System-23H2","11","2024-03 Microsoft server operating system version 23H2 x64 ベース システム用の累積更新プログラム (KB5035856)","2024/03/12 17:00:00","UUPv1","2023-10 .NET Framework 3.5 および 4.8.1 の累積的な更新プログラム (x64 向け Microsoft server operating system, version 23H2 用) (KB5031009)","2023/10/10 17:00:00","KB5031009-DotNetCumulative-Srvr23H2-Server-x64-Retail","607efb8d-feed-48a0-930e-14d0cf2da71f","Windows"
"OOBE ZDP","14","Windows 10 for x64-Based Systems 用更新プログラム (KB3122962)","2015/12/15 18:00:00","KB3122962-Win10-RTM-X64-TSL","Windows 8.1 for x64-Based Systems 用更新プログラム (KB3021128)","2014/12/09 18:00:00","KB3021128-Win8.1-RTM-X64-TSL","dd78b8a1-0b20-45c1-add6-4da72e9364cf","Windows"
"Server 2022 Hotpatch Category","46","2024-03 Microsoft server operating system version 21H2 x64 ベース システム用の累積更新プログラム (KB5035857)","2024/03/12 17:00:07","KB5035857-WindowsServer2022Hotpatch-RTM-UnifiedCumulativeSecurity-X64-TSL-World","2021-11 ベース システム Hotpatch の Azure Stack HCI, version 21H2 累積セキュリティ Windows Server 2022 Datacenter: Azure Editionx64(KB5007386)","2021/11/09 18:00:06","KB5007386-WindowsServer2022Hotpatch-RTM-UnifiedCumulativeHotpatch-X64-TSL-World","97b08ca0-db59-468d-8c47-0ecaad647997","Windows"
