"Title","EnglishTitle","Path","Count","Id","ParentId","Applications.Count","ApplicationsLatestUpdate.Title","ApplicationsLatestUpdate.EnglishTitle","ApplicationsLatestUpdate.CreationDate","ApplicationsLatestUpdate.LegacyName","ApplicationsOldestUpdate.Title","ApplicationsOldestUpdate.EnglishTitle","ApplicationsOldestUpdate.CreationDate","ApplicationsOldestUpdate.LegacyName","CriticalUpdates.Count","CriticalUpdatesLatestUpdate.Title","CriticalUpdatesLatestUpdate.EnglishTitle","CriticalUpdatesLatestUpdate.CreationDate","CriticalUpdatesLatestUpdate.LegacyName","CriticalUpdatesOldestUpdate.Title","CriticalUpdatesOldestUpdate.EnglishTitle","CriticalUpdatesOldestUpdate.CreationDate","CriticalUpdatesOldestUpdate.LegacyName","DefinitionUpdates.Count","DefinitionUpdatesLatestUpdate.Title","DefinitionUpdatesLatestUpdate.EnglishTitle","DefinitionUpdatesLatestUpdate.CreationDate","DefinitionUpdatesLatestUpdate.LegacyName","DefinitionUpdatesOldestUpdate.Title","DefinitionUpdatesOldestUpdate.EnglishTitle","DefinitionUpdatesOldestUpdate.CreationDate","DefinitionUpdatesOldestUpdate.LegacyName","DriverSets.Count","DriverSetsLatestUpdate.Title","DriverSetsLatestUpdate.EnglishTitle","DriverSetsLatestUpdate.CreationDate","DriverSetsLatestUpdate.LegacyName","DriverSetsOldestUpdate.Title","DriverSetsOldestUpdate.EnglishTitle","DriverSetsOldestUpdate.CreationDate","DriverSetsOldestUpdate.LegacyName","Drivers.Count","DriversLatestUpdate.Title","DriversLatestUpdate.EnglishTitle","DriversLatestUpdate.CreationDate","DriversLatestUpdate.LegacyName","DriversOldestUpdate.Title","DriversOldestUpdate.EnglishTitle","DriversOldestUpdate.CreationDate","DriversOldestUpdate.LegacyName","FeaturePacks.Count","FeaturePacksLatestUpdate.Title","FeaturePacksLatestUpdate.EnglishTitle","FeaturePacksLatestUpdate.CreationDate","FeaturePacksLatestUpdate.LegacyName","FeaturePacksOldestUpdate.Title","FeaturePacksOldestUpdate.EnglishTitle","FeaturePacksOldestUpdate.CreationDate","FeaturePacksOldestUpdate.LegacyName","SecurityUpdates.Count","SecurityUpdatesLatestUpdate.Title","SecurityUpdatesLatestUpdate.EnglishTitle","SecurityUpdatesLatestUpdate.CreationDate","SecurityUpdatesLatestUpdate.LegacyName","SecurityUpdatesOldestUpdate.Title","SecurityUpdatesOldestUpdate.EnglishTitle","SecurityUpdatesOldestUpdate.CreationDate","SecurityUpdatesOldestUpdate.LegacyName","ServicePacks.Count","ServicePacksLatestUpdate.Title","ServicePacksLatestUpdate.EnglishTitle","ServicePacksLatestUpdate.CreationDate","ServicePacksLatestUpdate.LegacyName","ServicePacksOldestUpdate.Title","ServicePacksOldestUpdate.EnglishTitle","ServicePacksOldestUpdate.CreationDate","ServicePacksOldestUpdate.LegacyName","Tools.Count","ToolsLatestUpdate.Title","ToolsLatestUpdate.EnglishTitle","ToolsLatestUpdate.CreationDate","ToolsLatestUpdate.LegacyName","ToolsOldestUpdate.Title","ToolsOldestUpdate.EnglishTitle","ToolsOldestUpdate.CreationDate","ToolsOldestUpdate.LegacyName","UpdateRollups.Count","UpdateRollupsLatestUpdate.Title","UpdateRollupsLatestUpdate.EnglishTitle","UpdateRollupsLatestUpdate.CreationDate","UpdateRollupsLatestUpdate.LegacyName","UpdateRollupsOldestUpdate.Title","UpdateRollupsOldestUpdate.EnglishTitle","UpdateRollupsOldestUpdate.CreationDate","UpdateRollupsOldestUpdate.LegacyName","Updates.Count","UpdatesLatestUpdate.Title","UpdatesLatestUpdate.EnglishTitle","UpdatesLatestUpdate.CreationDate","UpdatesLatestUpdate.LegacyName","UpdatesOldestUpdate.Title","UpdatesOldestUpdate.EnglishTitle","UpdatesOldestUpdate.CreationDate","UpdatesOldestUpdate.LegacyName","Upgrades.Count","UpgradesLatestUpdate.Title","UpgradesLatestUpdate.EnglishTitle","UpgradesLatestUpdate.CreationDate","UpgradesLatestUpdate.LegacyName","UpgradesOldestUpdate.Title","UpgradesOldestUpdate.EnglishTitle","UpgradesOldestUpdate.CreationDate","UpgradesOldestUpdate.LegacyName"
"Active Directory Rights Management Services Client 2.0","Active Directory Rights Management Services Client 2.0","Microsoft\Active Directory",,"fdcfda10-5b1f-4e57-8298-c744257e30db","57742761-615a-4e06-90bb-008394eaea47","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"1","Update Rollup 1 for Active Directory Rights Management Services Client 2.0 の更新プログラムのロールアップ 1 (KB2821183)","Update Rollup 1 for Active Directory Rights Management Services Client 2.0 (KB2821183)","2013/04/09 17:00:00","","Update Rollup 1 for Active Directory Rights Management Services Client 2.0 の更新プログラムのロールアップ 1 (KB2821183)","Update Rollup 1 for Active Directory Rights Management Services Client 2.0 (KB2821183)","2013/04/09 17:00:00","","0",,,,,,,,,"0",,,,,,,,
"AksEdge Category","AksEdge Category","Microsoft\AKS-EE",,"0155e143-c152-4b30-8fae-00865b9f1336","701de9e9-c3d5-45d2-9c1f-f24fe790ea13","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"22","AKS Edge Essentials k8s 1.26.6 (Version 1.6.384.0)","AKS Edge Essentials k8s 1.26.6 (Version 1.6.384.0)","2024/02/07 23:31:22","","AKS Edge Essentials k8s 1.24.3 (Version 1.0.358.0) Public Preview 2","AKS Edge Essentials k8s 1.24.3 (Version 1.0.358.0) Public Preview 2","2023/02/13 18:00:00","","0",,,,,,,,
"Antigen for Exchange/SMTP","Antigen for Exchange/SMTP","Microsoft\Antigen",,"5d6a452a-55ba-4e11-adac-85e180bda3d6","116a3557-3847-4858-9f03-38e94b977456","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"4","Antigen Software Update KB2508121","Antigen Software Update KB2508121","2011/03/08 18:00:00","","Antigen Software Update KB975355","Antigen Software Update KB975355","2010/01/26 18:00:00","","0",,,,,,,,,"0",,,,,,,,
"ASP.NET Web Frameworks","ASP.NET Web Frameworks","Microsoft\ASP.NET Web and Data Frameworks",,"fa5ef799-b817-439e-abf7-c76ba0cacb75","4756f399-b049-8e6e-94e9-ff63d0e236a7","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"5","Security Update for Microsoft ASP.NET MVC 3 (KB2993937)","Security Update for Microsoft ASP.NET MVC 3 (KB2993937)","2014/10/14 17:00:00","","Security Update for Microsoft ASP.NET MVC 3 (KB2993937)","Security Update for Microsoft ASP.NET MVC 3 (KB2993937)","2014/10/14 17:00:00","","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,
"Azure Connected Machine Agent 3","Azure Connected Machine Agent 3","Microsoft\Azure Connected Machine Agent",,"589e5715-19b7-44c2-a532-5775dea30c0f","c3c0da06-200f-4b81-87fd-b93503b4776c","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"24","AzureConnectedMachineAgent Version 1.40 - April 2024 Update","AzureConnectedMachineAgent Version 1.40 - April 2024 Update","2024/04/25 19:00:00","","AzureConnectedMachineAgent - April 1.17","AzureConnectedMachineAgent - April 1.17","2022/04/27 21:00:00","","0",,,,,,,,
"Azure File Sync agent updates for Windows Server 2012 R2","Azure File Sync agent updates for Windows Server 2012 R2","Microsoft\Azure File Sync",,"fb08c71c-dbe9-40ab-8302-fb0231b1c814","9d6f2556-534f-047e-5ec9-91bf0da81a75","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"2","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","2024/02/13 15:15:27","","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","2024/02/13 15:15:12","","0",,,,,,,,,"0",,,,,,,,,"3","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","2024/02/28 14:58:12","","Azure File Sync Agent v16.0 Release – January 2023 (KB5013877)","Azure File Sync Agent v16.0 Release – January 2023 (KB5013877)","2024/02/16 4:46:27","","0",,,,,,,,,"0",,,,,,,,
"Azure File Sync agent updates for Windows Server 2016","Azure File Sync agent updates for Windows Server 2016","Microsoft\Azure File Sync",,"7ff1d901-fd38-441b-aaba-36d7b0ebf264","9d6f2556-534f-047e-5ec9-91bf0da81a75","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"2","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","2024/02/13 15:15:35","","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","2024/02/13 15:15:19","","0",,,,,,,,,"0",,,,,,,,,"4","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","2024/02/28 15:01:18","","Azure File Sync Agent v4.2 Release – December 2018 (KB4459990)","Azure File Sync Agent v4.2 Release – December 2018 (KB4459990)","2024/02/13 3:38:23","","0",,,,,,,,,"0",,,,,,,,
"Azure File Sync agent updates for Windows Server 2019","Azure File Sync agent updates for Windows Server 2019","Microsoft\Azure File Sync",,"84a044f8-631c-4eb5-90be-9f1d127d6cc2","9d6f2556-534f-047e-5ec9-91bf0da81a75","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"2","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","2024/02/13 15:15:42","","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","2024/02/13 15:15:20","","0",,,,,,,,,"0",,,,,,,,,"4","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","2024/02/28 15:03:19","","Azure File Sync Agent v11.1 Release – November 2020 (KB4539951)","Azure File Sync Agent v11.1 Release – November 2020 (KB4539951)","2024/02/13 3:39:21","","0",,,,,,,,,"0",,,,,,,,
"Azure File Sync agent updates for Windows Server 2022","Azure File Sync agent updates for Windows Server 2022","Microsoft\Azure File Sync",,"c72a8930-b7e7-42ae-8dda-36223b9b006b","9d6f2556-534f-047e-5ec9-91bf0da81a75","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"2","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","Azure File Sync Agent v17.1 Release – February 2024 (KB5023054)","2024/02/13 15:15:42","","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","Azure File Sync Agent v16.2 Release – February 2024 (KB5023052)","2024/02/13 15:15:27","","0",,,,,,,,,"0",,,,,,,,,"3","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","Azure File Sync Agent v17.2 Release – February 2024 (KB5023055)","2024/02/28 15:23:39","","Azure File Sync Agent v16.0 Release – January 2023 (KB5013877)","Azure File Sync Agent v16.0 Release – January 2023 (KB5013877)","2024/02/16 4:49:49","","0",,,,,,,,,"0",,,,,,,,
"Azure IoT Edge for Linux on Windows Category","Azure IoT Edge for Linux on Windows Category","Microsoft\Azure IoT Edge for Linux on Windows",,"2bb652d0-9b84-46c6-8cd5-642e281a6f61","2972607b-8640-4ed4-a827-99659bfe7fa0","0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"0",,,,,,,,,"48","Azure IoT Edge for Linux on Windows (x64 Version 1.4.12.05024)","Azure IoT Edge for Linux on Windows (x64 Version 1.4.12.05024)","2024/04/30 19:12:10","","Azure IoT Edge for Linux on Windows Update (Version 1.0.1.0)","Azure IoT Edge for Linux on Windows Update (Version 1.0.1.0)","2021/03/10 18:00:00","","0",,,,,,,,
