"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.409.612.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/30 15:13:15","","200","97f3873b-f41e-4568-ac04-01570e7d4829","2267602","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.621.0"
"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.409.614.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/30 18:15:20","","200","3644d7d9-94db-4277-a9cb-4f36c82e3552","2267602","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.621.0"
"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.409.616.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/30 21:10:35","","200","c9f3f990-ee69-4ffc-9d49-f5fd133e586b","2267602","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.621.0"
"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.409.618.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/05/01 0:07:05","","200","76d329b1-d98f-4dbf-93f9-53210bd25a9a","2267602","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.621.0"
"Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.409.620.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/05/01 3:35:09","","200","642a3f91-d8f8-49e0-8d57-30c35cb1e17c","2267602","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.621.0"
"Security Intelligence Update for Windows Defender Antivirus - KB915597 (Version 1.409.256.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/14 1:23:13","","200","a8f1ce92-30a0-4b9c-b3ad-c978a1c25a72","915597","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.602.0"
"Security Intelligence Update for Windows Defender Antivirus - KB915597 (Version 1.409.338.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/17 6:21:38","","200","6043abae-7d3e-4aec-b59c-9155ab0fb3b7","915597","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.602.0"
"Security Intelligence Update for Windows Defender Antivirus - KB915597 (Version 1.409.404.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/20 15:58:26","","200","fee2c53d-8b8a-4321-adad-b93836c522ec","915597","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.602.0"
"Security Intelligence Update for Windows Defender Antivirus - KB915597 (Version 1.409.473.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/23 22:43:02","","200","ca8f0689-8ec8-41eb-a6c1-782e4d2cd554","915597","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.602.0"
"Security Intelligence Update for Windows Defender Antivirus - KB915597 (Version 1.409.546.0) - Current Channel (Broad)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2024/04/27 3:20:34","","200","2b3b6ff6-e6da-44a1-81f8-24fd5631a8da","915597","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Windows","Software"," < 1.409.602.0"
