"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Microsoft Edge-Beta Channel Version 81 Update for x86 based Editions (Build 81.0.416.20)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/03/02 23:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","201","d7dbcde1-a2d9-49c5-9b1a-9c5723b0ee16","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 81 Update for x64 based Editions (Build 81.0.416.20)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/03/02 23:00:06","KB0-Beta-RTM-MicrosoftEdge-X64-TSL-World","201","9492efe4-52b2-477d-a96d-e6a1f0f9c9d3","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 86 Update for ARM64 based Editions (Build 86.0.622.36)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/10/07 22:00:06","KB0-Beta-RTM-MicrosoftEdge-ARM64-TSL-World","200","8e8fd283-fac6-42c3-9262-796db2f937c2","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 86 Update for x86 based Editions (Build 86.0.622.36)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/10/07 22:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","200","2946f469-5b99-4652-9be1-45fd89e982e5","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 86 Update for x64 based Editions (Build 86.0.622.36)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/10/07 22:00:06","KB0-Beta-RTM-MicrosoftEdge-X64-TSL-World","200","7c9389c9-127c-4b85-b96d-6881ad578031","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 90 Update for ARM64 based Editions (Build 90.0.818.22)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/03/30 22:00:06","KB0-Beta-RTM-MicrosoftEdge-ARM64-TSL-World","200","09382ce9-fb5a-4f1e-9a54-6e0aefd869b9","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 90 Update for x64 based Editions (Build 90.0.818.22)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/03/30 22:00:06","KB0-Beta-RTM-MicrosoftEdge-X64-TSL-World","200","7b501317-48fe-4dbd-ac3b-a59d86004cda","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 90 Update for x86 based Editions (Build 90.0.818.22)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/03/30 22:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","200","d649c6b7-d426-4547-a881-f7bcb9a11c4d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 92 Update for x86 based Editions (Build 92.0.902.9)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/06/09 22:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","200","cd1d14b4-2f12-4cc9-92f4-d5d83411a388","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Beta Channel Version 92 Update for x86 based Editions (Build 92.0.902.15)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/06/15 22:00:06","KB0-Beta-RTM-MicrosoftEdge-X86-TSL-World","200","20dea690-91d0-4c76-929b-ccc7ec976cd6","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
