"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Microsoft Edge-Stable Channel Version 80 Update for x86 based Editions (Build 80.0.361.109)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/04/01 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X86-TSL-World","200","40e7a0e1-8bd8-4f85-8115-f71db56761ed","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 80 Update for x64 based Editions (Build 80.0.361.109)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/04/01 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X64-TSL-World","200","46bc65a5-d61e-4dba-80c0-212f6ba633e7","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 85 Update for x86 based Editions (Build 85.0.564.51)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/09/09 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X86-TSL-World","200","928905e9-b86b-41ca-88c2-f58b385f5de6","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 85 Update for ARM64 based Editions (Build 85.0.564.51)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/09/09 22:00:06","KB0-Stable-RTM-MicrosoftEdge-ARM64-TSL-World","200","2ceb4cfe-40e7-48eb-b2f3-c612b702a108","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 85 Update for x64 based Editions (Build 85.0.564.63)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/09/24 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X64-TSL-World","200","a2c72b9d-8fa6-4377-927a-4231f6554615","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 85 Update for x86 based Editions (Build 85.0.564.63)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/09/24 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X86-TSL-World","200","ed1754e7-187a-443e-9c7e-138a9f312de1","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 85 Update for x64 based Editions (Build 85.0.564.51)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/09/09 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X64-TSL-World","200","863778e4-259c-4658-aa8a-c99e7c1d9119","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 85 Update for ARM64 based Editions (Build 85.0.564.63)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2020/09/24 22:00:06","KB0-Stable-RTM-MicrosoftEdge-ARM64-TSL-World","200","cafa9d5f-914f-45e9-83f9-5e4d5686c973","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 89 Update for x86 based Editions (Build 89.0.774.48)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/03/09 23:00:06","KB0-Stable-RTM-MicrosoftEdge-X86-TSL-World","200","e06a578f-833e-4269-a896-4c1ea6d2931a","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 89 Update for ARM64 based Editions (Build 89.0.774.48)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/03/09 23:00:06","KB0-Stable-RTM-MicrosoftEdge-ARM64-TSL-World","200","02b264a6-68d2-4a87-b16f-f71a6745ff55","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 89 Update for x64 based Editions (Build 89.0.774.48)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/03/09 23:00:06","KB0-Stable-RTM-MicrosoftEdge-X64-TSL-World","200","237c2af6-c218-4f2f-afde-dfa606222181","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 91 Update for ARM64 based Editions (Build 91.0.864.54)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/06/18 22:00:06","KB0-Stable-RTM-MicrosoftEdge-ARM64-TSL-World","200","0754e297-e9c1-45d2-86d9-5a670e4dc468","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 91 Update for x64 based Editions (Build 91.0.864.54)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/06/18 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X64-TSL-World","200","827271fc-e16c-46ad-ada1-09fd41b377d1","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 91 Update for x86 based Editions (Build 91.0.864.54)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/06/18 22:00:06","KB0-Stable-RTM-MicrosoftEdge-X86-TSL-World","200","d16e5813-c69a-4f25-80c4-5a289b25fcab","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Stable Channel Version 109 Update for x64 based Editions (Build 109.0.1518.78)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/02 23:01:06","KB0-Stable-RTM-MicrosoftEdge-X64-TSL-World","200","bc2724bb-a63b-4c94-a214-14350052a34f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
