"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Microsoft Edge-Extended Stable Channel Version 94 Update for ARM64 based Editions (Build 94.0.992.31)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/09/27 17:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","5157e2d5-7a1f-417c-b6f5-e61254018809","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 112 Update for ARM64 based Editions (Build 112.0.1722.68)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/02 17:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","91a0b545-b535-4c98-8e6d-3d55cb529f00","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 112 Update for ARM64 based Editions (Build 112.0.1722.71)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/04 22:13:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","3e4af9f9-55e1-4a03-8d39-69fe253d4f9c","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 112 Update for ARM64 based Editions (Build 112.0.1722.64)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/04/27 21:52:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","a91d8a72-a689-4cd2-b48e-643115d1fdfc","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 112 Update for ARM64 based Editions (Build 112.0.1722.77)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/09 22:46:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","1e6657e0-5d52-40b4-aea2-ea477c1e44d4","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 112 Update for ARM64 based Editions (Build 112.0.1722.84)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/18 21:07:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","f55c1afb-a773-498f-9806-9567eeee2cec","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.41)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/06 23:10:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","725787b3-159e-4f16-81ad-1dcdfdcd605e","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.37)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/02 20:23:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","b4c6201c-a924-46b8-b06c-912d947afd2e","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.43)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/08 21:37:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","9e5666f4-5a6c-4d78-8a49-4347a5e7b621","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.51)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/15 22:36:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","f32f454c-943a-4ea7-8ec9-dfc881e8a959","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.58)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/22 20:58:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","201","6347f5a3-347f-411a-874f-a34896fda96d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.67)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/29 21:56:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","841e1d60-f447-40e9-895c-bb23c9288b3b","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.79)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/10 20:14:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","4242d5b6-83c5-4178-b9f0-30e1f1633146","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.82)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/13 19:54:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","39127aab-f261-4e1a-ba69-0f293e5659d6","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.86)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/17 20:35:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","1b1e993c-130e-4d50-8fd9-eaa9a4eecb37","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.106)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/07 19:57:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","43b0ce8c-73dd-4755-b543-1c6f70a9b343","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 114 Update for ARM64 based Editions (Build 114.0.1823.90)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/21 20:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","f0fa90f8-32b5-4d60-83f7-0e44cda23dc9","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 116 Update for ARM64 based Editions (Build 116.0.1938.69)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/31 20:01:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","70a3c557-5691-40bb-a806-9e10b39a9aa0","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 116 Update for ARM64 based Editions (Build 116.0.1938.62)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/25 20:10:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","75514869-a064-4604-b4e0-c2bb461fe599","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 116 Update for ARM64 based Editions (Build 116.0.1938.54)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/21 20:10:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","86ba2cc3-1254-434e-ab48-5b8a5e3a3492","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 116 Update for ARM64 based Editions (Build 116.0.1938.76)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/09/07 20:23:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","84d76abf-f6b0-4630-ae77-577d2f21b2c4","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 116 Update for ARM64 based Editions (Build 116.0.1938.81)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/09/12 19:50:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","c849c6e9-6f84-464d-8d9c-aba6bf5dc887","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 116 Update for ARM64 based Editions (Build 116.0.1938.98)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/09/29 23:26:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","a50b3fd0-cd33-47ae-a9f0-8be2ddc2914d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-Extended Stable Channel Version 118 Update for ARM64 based Editions (Build 118.0.2088.61)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/10/20 19:36:06","KB0-ExtendedStable-RTM-MicrosoftEdge-ARM64-TSL-World","200","0df712e0-a1ca-4a19-a627-640fdc34116f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
