"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Microsoft Edge-Extended Stable Channel Version 94 Update for x64 based Editions (Build 94.0.992.31)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/09/27 17:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","b39773a9-1fb1-4a4e-9418-b3b94b5ecba2","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 108 Update for x64 based Editions (Build 108.0.1462.54)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2022/12/16 18:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","6e337848-c2c7-4a7a-9d16-7b80241e8e19","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 112 Update for x64 based Editions (Build 112.0.1722.71)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/04 22:13:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","94bc2def-1dbc-47b6-8286-3adb7761d543","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 112 Update for x64 based Editions (Build 112.0.1722.64)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/04/27 21:52:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","bcf7db86-1d71-4b98-925a-bb1d34d2cd11","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 112 Update for x64 based Editions (Build 112.0.1722.68)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/02 17:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","d036e144-be2e-4bec-9ca4-30251e8b6ac2","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 112 Update for x64 based Editions (Build 112.0.1722.77)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/09 22:46:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","99e41850-d368-408f-8920-913d862ba22f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 112 Update for x64 based Editions (Build 112.0.1722.84)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/05/18 21:07:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","eab88835-e403-42f3-8036-6536cbb8553d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.43)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/08 21:37:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","159f45d5-54cc-4f44-ac93-b2a9e880fa8b","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.41)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/06 23:10:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","08b0f2b6-da4a-40a2-b4f3-cce513869637","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.37)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/02 20:23:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","e7669d6c-a82c-4bc5-a0de-5e00e5da1d5c","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.51)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/15 22:36:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","b42cda5c-fa54-4a4b-93aa-165a2dfa2faa","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.58)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/22 20:58:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","201","495b1fe3-dc3d-49f9-a0cf-6e013db92504","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.79)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/10 20:14:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","44622085-8bc0-40b4-9d2c-53cb2eac6c2f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.67)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/06/29 21:56:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","aa063570-8461-4363-861a-1a1fa3ef307d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.82)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/13 19:54:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","e49da4da-c828-452d-8ae4-48403d867f74","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.86)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/17 20:35:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","54155e83-c4a3-4815-9c7d-02142499f9d7","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.90)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/07/21 20:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","fb87c27a-aad8-4fb9-b275-69ad128f9f7f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 114 Update for x64 based Editions (Build 114.0.1823.106)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/07 19:57:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","3534a999-d9c1-49a7-817f-8ad4172756a5","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 116 Update for x64 based Editions (Build 116.0.1938.69)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/31 20:01:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","6cd80bbe-f018-4bea-977f-58d851eafef6","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 116 Update for x64 based Editions (Build 116.0.1938.62)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/25 20:10:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","341493c4-1c14-49d6-8098-7fd73533b707","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 116 Update for x64 based Editions (Build 116.0.1938.54)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/08/21 20:10:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","60bba46c-be1c-467e-8e45-824b0a493f4f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 116 Update for x64 based Editions (Build 116.0.1938.76)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/09/07 20:23:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","aa0e1587-abf3-4b2c-984e-3c4a6cc1b763","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 116 Update for x64 based Editions (Build 116.0.1938.81)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/09/12 19:50:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","852ddfa6-f088-4b45-950a-7515e40da71f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 116 Update for x64 based Editions (Build 116.0.1938.98)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/09/29 23:26:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","a183bff9-2b04-446d-8f61-5c1e6f6af8f1","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-Extended Stable Channel Version 118 Update for x64 based Editions (Build 118.0.2088.57)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/10/18 22:00:06","KB0-ExtendedStable-RTM-MicrosoftEdge-X64-TSL-World","200","aa5ba90d-7cea-4a41-bb87-71e9d718c4a3","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
