"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Microsoft Edge-WebView2 Runtime Version 95 Update for x64 based Editions (Build 95.0.1020.40)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/11/01 22:00:00","KB0-WV2-Client-x64-Retail","200","8ad2764e-2428-4efc-acfb-34dfb1126054","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 95 Update for x64 based Editions (Build 95.0.1020.44)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/11/04 22:00:00","KB0-WV2-Client-x64-Retail","200","1bf66e74-5109-4810-b512-382eb3751380","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 102 Update for x64 based Editions (Build 102.0.1245.44)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2022/06/16 21:48:44","KB0-MicrosoftEdge-WV2-Client-x64-Retail","200","059c3c70-74f7-4ec5-b144-2de5e6a4b093","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 109 Update for x64 based Editions (Build 109.0.1518.78)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/02 22:54:53","KB0-MicrosoftEdge-WV2-Client-x64-Retail","200","a744501b-6fe9-4cf6-a77b-cb1defafe775","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 110 Update for x64 based Editions (Build 110.0.1587.56)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/24 18:00:00","KB0-MicrosoftEdge-WV2-Client-x64-Retail","201","358e29d1-c666-458c-b5d8-bfecc8c362a9","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 110 Update for x64 based Editions (Build 110.0.1587.41)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/09 23:09:47","KB0-MicrosoftEdge-WV2-Client-x64-Retail","201","248b46aa-3021-4625-b0b9-251e1b866d7a","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 111 Update for x64 based Editions (Build 111.0.1661.41)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/03/13 21:58:46","KB0-MicrosoftEdge-WV2-Client-x64-Retail","201","5fc47f40-dd01-4414-8bf3-e8613b074797","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 110 Update for x64 based Editions (Build 110.0.1587.46)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/14 23:57:08","KB0-MicrosoftEdge-WV2-Client-x64-Retail","201","879126c7-f674-4668-a546-b03aaf1d55e9","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 110 Update for x64 based Editions (Build 110.0.1587.57)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/25 21:36:37","KB0-MicrosoftEdge-WV2-Client-x64-Retail","201","72db134b-dd5a-4e6d-adda-0c36c175a655","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
"Microsoft Edge-WebView2 Runtime Version 110 Update for x64 based Editions (Build 110.0.1587.49)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/16 22:37:59","KB0-MicrosoftEdge-WV2-Client-x64-Retail","201","3c159862-1290-4df9-b093-5c95dbcebde4","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software"," < 124.0.2478.67"
