"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Microsoft Edge-WebView2 Runtime Version 95 Update for x86 based Editions (Build 95.0.1020.40)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/11/01 22:00:00","KB0-WV2-Client-x86-Retail","200","e8c51cf4-62d5-4557-98ef-83e692f10423","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 95 Update for x86 based Editions (Build 95.0.1020.44)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2021/11/04 22:00:00","KB0-WV2-Client-x86-Retail","200","5b86d71b-1402-445d-be24-bf629e36228d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 102 Update for x86 based Editions (Build 102.0.1245.44)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2022/06/16 21:48:44","KB0-MicrosoftEdge-WV2-Client-x86-Retail","200","9aee0b66-df2c-440e-881d-8fba456e17af","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 109 Update for x86 based Editions (Build 109.0.1518.78)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/02 22:54:53","KB0-MicrosoftEdge-WV2-Client-x86-Retail","200","04a75cc8-9e60-4de0-a156-e91937ea7159","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 111 Update for x86 based Editions (Build 111.0.1661.41)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/03/13 21:58:46","KB0-MicrosoftEdge-WV2-Client-x86-Retail","201","943fb711-86ce-46c6-868a-a26ffb248cd3","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 110 Update for x86 based Editions (Build 110.0.1587.46)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/14 23:57:08","KB0-MicrosoftEdge-WV2-Client-x86-Retail","201","28b45223-9cb8-4713-878b-d07d31757e5d","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 110 Update for x86 based Editions (Build 110.0.1587.57)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/25 21:36:37","KB0-MicrosoftEdge-WV2-Client-x86-Retail","201","bb8fb705-c225-4d68-8489-ad2528d9825f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 110 Update for x86 based Editions (Build 110.0.1587.69)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/03/10 0:10:06","KB0-MicrosoftEdge-WV2-Client-x86-Retail","201","259cb07c-c52e-470a-88fb-16e69874cfe2","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 110 Update for x86 based Editions (Build 110.0.1587.50)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/17 21:39:27","KB0-MicrosoftEdge-WV2-Client-x86-Retail","201","496f3361-04d5-419a-ae25-57b4fdc8cb0e","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Microsoft Edge-WebView2 Runtime Version 110 Update for x86 based Editions (Build 110.0.1587.56)","Microsoft Edge","69010383-ff55-4227-bd6c-d91c26f2643b","2023/02/24 18:00:00","KB0-MicrosoftEdge-WV2-Client-x86-Retail","201","5c5c8a13-a63f-4f26-9b70-29709c2c2b6f","","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
