"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/02/24 19:58:37","","200","3a1c5dbd-24d7-4a0a-a2d8-5fc69d388c33","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/02/19 18:16:39","","200","e5d1fd6b-2af6-4578-9018-57f92a8774e6","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/02/13 23:43:58","","200","4c20f01b-96ba-4211-b81b-cf6e9402994b","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/02/13 23:43:31","","200","ab7cc056-2230-44b5-adfb-fb86d28df614","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/02/27 22:55:07","","200","9eddef94-1c84-4a74-be8c-4d0cca81b169","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/03/04 22:50:15","","201","62afbd9b-097b-4300-9e4d-275c9a35be2c","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows Defender Antivirus antimalware platform - KB4052623 (Version 4.18.2001.10)","Microsoft Defender Antivirus","8c3fcc84-7410-4a95-8b89-a166a0190486","2020/05/01 0:18:15","","200","c01629fc-64ea-45f3-b7cb-cabc7d566933","4052623","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2022-01 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5009643)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2022/01/25 22:00:06","KB5009643-WindowsServer2022-RTM-SafeOSDU-X64-TSL-World","202","73353fa2-df26-4390-8abb-d64ae28da348","5009643","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-03 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5012415)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2022/03/08 18:00:06","KB5012415-WindowsServer2022-RTM-SafeOSDU-X64-TSL-World","200","49e7d5c0-f395-4955-93cb-8dfb905e7c91","5012415","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-03 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5011578)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2022/03/22 21:00:06","KB5011578-WindowsServer2022-RTM-SafeOSDU-X64-TSL-World","201","321f7d5a-0a64-435d-a23a-5abbeb8ab161","5011578","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-05 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5014037)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2022/05/24 21:00:06","KB5014037-WindowsServer2022-RTM-SafeOSDU-X64-TSL-World","201","1c9153e2-261a-42f8-a9ca-8c9f89edc45b","5014037","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-06 Dynamic Update for Microsoft server operating system for x64-based Systems (KB5015022)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2022/06/23 21:00:06","KB5015022-WindowsServer2022-RTM-SafeOSDU-X64-TSL-World","200","bbe63ecf-dcb6-4ae1-8b4d-47fb864f89e1","5015022","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-10 Cumulative Update for Windows 10 Version 22H2 for x64-based Systems (KB5018410)","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/10/18 17:00:06","KB5018410-Windows1022H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","0d516a08-93a9-49dc-bbae-f4b950631dd4","5018410","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
