"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Security Update for Microsoft Office 2016 (KB2920727) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/01/12 18:00:00","","201","0ff3c0f4-9033-4cb0-8bdd-206e882c66a8","2920727","MS16-004","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3114903) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/04/05 17:00:00","","200","bd8b6b14-95ac-4b7c-b209-82a22de6ef7a","3114903","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft OneNote 2016 (KB2920726) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2015/11/10 18:00:00","","201","83acdeaf-0363-4d45-8473-aafeaac80aa6","2920726","MS15-116","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Project 2016 (KB3114865) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/03/08 18:00:00","","200","51c46815-ad72-4ea9-9b74-2409c2aa2232","3114865","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3114849) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/03/08 18:00:00","","200","cd619832-2ee2-4513-b3a3-079edfd07ae7","3114849","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3114857) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/03/08 18:00:00","","200","de68fbcb-7e08-4c46-a0d3-8c8e35806091","3114857","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Outlook 2016 (KB3114861) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/03/08 18:00:00","","201","55902be5-a698-4502-86b3-a0a733829126","3114861","MS16-029","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB2920712) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2015/12/08 18:00:00","","200","fb618604-4cb8-4f9e-a919-b95a93777867","2920712","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB2920684) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2015/12/08 18:00:00","","200","9656d9f0-adef-473e-894e-257d2ff05252","2920684","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3114694) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/04/05 17:00:00","","200","16461adf-1868-4bdd-90d3-2618d81ef0b3","3114694","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Visio 2016 (KB3114844) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/03/08 18:00:00","","200","40d83ed2-e5f8-434c-946e-d5c7ab25d140","3114844","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3115103) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/05/10 17:00:00","","201","058bd96f-3173-4d59-ab74-11ee0c977509","3115103","MS16-054","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3178666) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/04/04 17:00:00","","200","cc023fb0-e16e-4fe4-b0c7-33789aa28781","3178666","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB2910984) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/07/05 17:00:00","","200","a1877e79-5270-4575-b05f-76ef95ec6845","2910984","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Publisher 2016 (KB3128047) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/03/07 18:00:00","","200","f2784396-2caa-46d9-ba84-1982fc8ef837","3128047","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3118264) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/10/04 17:00:00","","200","226a6742-a97e-41c9-a806-a61784c35ca8","3118264","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3114389) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/02/07 18:00:00","","200","73594779-d800-4693-af1a-a5d4fa062d8e","3114389","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3118263) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/10/04 17:00:00","","200","442a29f7-87e5-4e69-b0b2-dc9eaa749a45","3118263","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft OneNote 2016 (KB3114862) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/06/14 17:00:00","","201","c2571586-0ed5-4d15-98ae-bc5ebb459a23","3114862","MS16-070","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3118262) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/10/04 17:00:00","","200","53526bc4-f439-4955-8b8c-4dcad3b669db","3118262","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3115276) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/09/06 17:00:00","","200","e7b4f55b-ed8b-4a72-a78f-166f40fdd9e2","3115276","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3115081) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/06/07 17:00:00","","200","3c3d031e-6eb3-4d7a-9e8d-8e7d8cc3ade3","3115081","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Definition Update for Microsoft Office 2016 (KB3115137) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/06/07 17:00:00","","200","41803c02-5a77-485d-bf8a-b35d07136722","3115137","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Office","Software",""
"Definition Update for Microsoft Office 2016 (KB3115267) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/07/05 17:00:00","","200","b0cc96d0-e09d-4b18-a300-aef9a3e9898c","3115267","","Definition Updates","e0789628-ce08-4437-be74-2495b842f43b","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3115135) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/11/08 18:00:00","","201","d594f741-fd68-410d-a0fd-d5538f7e8744","3115135","MS16-133","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3115416) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/08/16 17:00:00","","200","2a756f55-9869-4b99-8ec3-618fb5e55c24","3115416","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft OneNote 2016 (KB3115419) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/08/09 17:00:00","","201","f3424ee9-62da-45dc-81a0-4bf633b0c67a","3115419","MS16-099","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB2910989) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/07/05 17:00:00","","200","5611be58-2737-45a7-aa2f-fcb22443d714","2910989","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3114514) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/03/08 18:00:00","","200","e602d40e-d8e9-4eed-a135-9facfcaae89d","3114514","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3085538) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2015/10/13 17:00:00","","203","9588214a-3a06-4b11-bbe2-df605d2127fc","3085538","MS15-081","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3114512) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/01/12 18:00:00","","200","363b0a93-02ec-4d31-9cd9-f535ee9bd026","3114512","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3115417) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/08/16 17:00:00","","200","19c92ea4-948f-4c31-be18-26c07f2573a2","3115417","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB2920687) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2016/07/05 17:00:00","","200","703119dc-072e-49ab-acc9-47214dab78ec","2920687","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3178692) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/05/02 17:00:00","","200","646d39b5-2eb6-4cec-9cab-a158db9cc7ba","3178692","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3203471) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/07/05 17:00:00","","201","99e88d76-3fac-4ea6-a0e0-b04814265335","3203471","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3213551) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/09/12 17:00:00","","201","1e822860-4b56-419b-a677-854ef699e038","3213551","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Publisher 2016 (KB3178696) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/08/01 17:00:00","","201","12c412d0-9023-4332-b2de-f394c6621c75","3178696","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3203474) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/09/12 17:00:00","","201","19bddafa-6dfe-4c7e-92ac-0d2c09d1ea11","3203474","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3115281) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/06/06 17:00:00","","200","f272f1ea-e969-4cb7-98be-c5092d3c166f","3115281","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB3191929) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/06/06 17:00:00","","200","f261db9f-6608-4449-bb2c-21aef05336f3","3191929","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Update for Microsoft Office 2016 (KB4011139) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/10/03 17:00:00","","200","1d7ed09b-9c5b-454a-adbc-a997a71c8862","4011139","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3203383) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/06/13 17:00:00","","200","39858418-45a0-43c7-ab02-b99edf253306","3203383","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3191882) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/06/13 17:00:00","","200","6a49cc0a-0dd6-4789-bb59-9681ff9c4de4","3191882","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft OneDrive for Business (KB3178707) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/08/01 17:00:00","","201","f8503b4a-0cdc-4cac-a7c9-83537f172d78","3178707","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB4011185) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/10/10 17:00:00","","201","842a1a28-ea66-45ee-a365-21370b6ce03e","4011185","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Security Update for Microsoft Office 2016 (KB4011038) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/09/12 17:00:00","","201","802a687f-e8ab-45e7-822b-8a932d82050e","4011038","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
"Update for Microsoft Office 2016 (KB3203482) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/09/05 17:00:00","","200","8a364b40-0d00-400a-be1d-26268f9b064a","3203482","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Office","Software",""
"Security Update for Microsoft Office 2016 (KB3213545) 32-Bit Edition","Office 2016","25aed893-7c2d-4a31-ae22-28ff8ac150ed","2017/07/11 17:00:00","","200","4082646a-e742-401f-bf8b-1eafe0ff2710","3213545","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Office","Software",""
