"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2018-05 Cumulative Update for Windows 10 Version 1607 for x86-based Systems (KB4103723)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/05/08 17:00:05","KB4103723-Windows10Rs1Client-RTM-X86-TSL-World","202","54f93c06-1d96-40f5-bdc8-f9924dbcd522","4103723","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-01 Dynamic Update for Windows 10 Version Next for x86-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/02/02 22:00:00","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X86-TSL-World","201","94c4c72e-6a62-47c6-9929-3338f32789a1","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-07 Cumulative Update for Windows 10 Version 1507 for x86-based Systems (KB4345455)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2018/07/17 0:00:05","KB4345455-Win10-TH1-RTM-X86-TSL-World","202","4b0f55bb-3702-47bf-b8eb-a520a0d795df","4345455","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2018-05 Update for Windows 10 Version 1607 for x86-based Systems (KB4132216)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/05/17 17:00:05","KB4132216-Windows10Rs1Client-RTM-ServicingStackUpdate-X86-TSL-World","203","36fdf089-10c3-408b-84ed-52eb7de0b3a4","4132216","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2017-05 Cumulative Update for Windows 10 for x86-based Systems (KB4019474)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2017/05/09 17:00:03","KB4019474-Win10-TH1-RTM-X86-TSL-World","200","15928377-0964-4b80-9021-1ab7230cc690","4019474","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2017-11 Dynamic Update for Windows 10 Version 1709 for x86-based Systems (KB4055237)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2017/11/30 18:00:05","KB4055237-Windows10Rs3Client-RTM-SafeOSDU-X86-TSL-World","201","001b4299-a282-4af1-b029-628c22034647","4055237","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-04 Cumulative Update for Windows 10 Version 1607 for x86-based Systems (KB4093119)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/04/10 17:00:05","KB4093119-Windows10Rs1Client-RTM-X86-TSL-World","204","6dff2995-bf8d-4ef1-81b1-c1bc64b59b80","4093119","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-03 Dynamic Update for Windows 10 Version Next for x86-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/03/08 18:00:05","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X86-TSL-World","201","77778488-edba-419b-84ef-039773451b90","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2017-12 Dynamic Update for Windows 10 Version 1709 for x86-based Systems (KB4055994)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2017/12/12 18:00:05","KB4055994-Windows10Rs3Client-RTM-SafeOSDU-X86-TSL-World","200","5855e908-3faa-45a5-8718-f1c1295fca0c","4055994","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x86-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/02/28 18:00:05","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X86-TSL-World","202","1bab9560-747a-46aa-a1f9-3419003a8d8a","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2017-05 Dynamic Update for Windows 10 Version 1703 for x86-based Systems (KB4021572)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2017/05/23 17:00:03","KB4021572-Windows10Rs2Client-RTM-SafeOSDU-X86-TSL-World","201","b7863db4-433e-4fc9-89c4-5ba4cbcd620c","4021572","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x86-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/02/07 22:00:05","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X86-TSL-World","200","d8a4c36c-44ef-4ca3-93a6-c165b7c590de","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-11 Update for Windows 10 Version 1607 for x86-based Systems (KB4465659)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/11/13 18:00:05","KB4465659-Windows10Rs1Client-RTM-ServicingStackUpdate-X86-TSL-World","200","bd666ee7-d43a-4d77-af05-df1e7628c070","4465659","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-04 Servicing Stack Update for Windows 10 Version 1903 for x86-based Systems (KB4498524)","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2019/05/01 17:00:06","KB4498524-Windows1019h1Client-RTM-ServicingStackUpdate-X86-TSL-World","202","71ee0c9b-0e81-419e-8d54-7d93c19f3717","4498524","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-06 Dynamic Update for Windows 10 Version 1803 for x86-based Systems (KB4230204)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2019/04/23 17:00:00","KB4230204-Windows10Rs4Client-RTM-SafeOSDU-X86-TSL-World","203","bb502fae-23cf-4a60-bcd4-b2c4273be3bf","4230204","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2019-05 Cumulative Update for Windows 10 Version 1607 for x86-based Systems (KB4494440)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:06","KB4494440-Windows10Rs1Client-RTM-X86-TSL-World","200","db85a23a-f0f7-466e-ad06-73387fea46dd","4494440","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-05 Servicing Stack Update for Windows 10 Version 1903 for x86-based Systems (KB4500109)","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2019/05/14 17:00:06","KB4500109-Windows1019h1Client-RTM-ServicingStackUpdate-X86-TSL-World","200","41325597-7968-4eeb-8113-6411cbbe8c90","4500109","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-02 Servicing Stack Update for Windows 10 Version 1607 for x86-based Systems (KB4485447)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/02/12 18:00:05","KB4485447-Windows10Rs1Client-RTM-ServicingStackUpdate-X86-TSL-World","201","4020ccb7-a6c3-4e2e-8de1-00737a6fe491","4485447","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-09 Update for Windows 10 Version 1507 for x86-based Systems (KB4091666)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2018/09/13 21:00:05","KB4091666-Win10-TH1-RTM-X86-TSL-World","201","a6fe63e1-52c6-4e11-b4bf-68038251b295","4091666","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
