"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Update for Windows 10 for x64-based Systems (KB3125217)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2016/04/12 17:00:00","KB3125217-Win10-RTM-X64-TSL","202","e832d18c-6f2c-466b-bb83-57d19bb5ef54","3125217","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"Update for Windows 10 for x64-based Systems (KB3141032)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2016/03/08 18:00:00","KB3141032-Win10-RTM-X64-TSL","200","eb8ba23e-0a0b-4797-a525-592d4296784a","3141032","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"Update for Windows 10 for x64-based Systems (KB3161102)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2016/09/13 17:00:00","KB3161102-Win10-RTM-X64-TSL","202","202bdb6d-925a-4898-975d-6295f3115db1","3161102","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Update for Windows 10 for x64-based Systems (KB3173427)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2016/07/12 17:00:00","KB3173427-Win10-RTM-X64-TSL","201","e37fe62f-f4e3-491d-81b7-f21c0f1a1d6c","3173427","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2017-05 Cumulative Update for Windows 10 for x64-based Systems (KB4019474)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2017/05/09 17:00:03","KB4019474-Win10-TH1-RTM-X64-TSL-World","201","6964cf08-89cf-4a95-ace6-fdb7a423c09c","4019474","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-04 Update for Windows 10 Version 1507 for x64-based Systems (KB4093430)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2018/04/10 17:00:05","KB4093430-Win10-TH1-RTM-ServicingStackUpdate-X64-TSL-World","201","9c829899-a0ee-421c-82a5-30b33e5f852f","4093430","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-07 Cumulative Update for Windows 10 Version 1507 for x64-based Systems (KB4345455)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2018/07/17 0:00:05","KB4345455-Win10-TH1-RTM-X64-TSL-World","202","a2519eb9-e4ea-4caa-a110-465fce559cd2","4345455","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2018-09 Update for Windows 10 Version 1507 for x64-based Systems (KB4091666)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2018/09/13 21:00:05","KB4091666-Win10-TH1-RTM-X64-TSL-World","201","203146b4-d0fc-4da6-b31d-a66b9c8ef07e","4091666","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2018-10 Update for Windows 10 Version 1507 for x64-based Systems (KB4091666)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2019/02/12 18:00:00","KB4091666-Win10-TH1-RTM-X64-TSL-World","202","b1e09921-b821-4557-9ee2-7ef6f8e2cfdb","4091666","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-05 Servicing Stack Update for Windows 10 Version 1507 for x64-based Systems (KB4498353)","Windows 10 LTSB","d2085b71-5f1f-43a9-880d-ed159016d5c6","2019/05/14 17:00:06","KB4498353-Win10-TH1-RTM-ServicingStackUpdate-X64-TSL-World","200","29e33f39-5384-4307-b228-68c2c1359bb1","4498353","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
