"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2018-04 Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4093119)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/04/10 17:00:05","KB4093119-Windows10Rs1Client-RTM-X64-TSL-World","202","74292a2d-143e-450b-bdff-d56ac8c86c4f","4093119","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-05 Update for Windows 10 Version 1607 for x64-based Systems (KB4132216)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/05/17 17:00:05","KB4132216-Windows10Rs1Client-RTM-ServicingStackUpdate-X64-TSL-World","202","8b2343b3-5cfb-411d-83cb-ff79625b9fcf","4132216","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"Dynamic Update for Windows 10 Version 1607 for x64-based Systems (KB3194623)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2016/12/26 14:00:00","KB3194623-Windows10Rs1Client-RTM-SafeOSDU-X64-TSL-World","201","134376bc-3328-4834-92ae-74b85f95e2fd","3194623","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-05 Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4103723)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/05/08 17:00:05","KB4103723-Windows10Rs1Client-RTM-X64-TSL-World","202","a74a9c4e-0823-4afc-8b58-cf1785a2e2b4","4103723","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"Dynamic Update for Windows 10 Version 1607 for x64-based Systems (KB4013419)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2017/03/14 17:00:03","KB4013419-Windows10Rs1Client-RTM-SafeOSDU-X64-TSL-World","202","93484ccb-6083-4a03-aaf0-bb9575b4ede6","4013419","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-10 Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4462917)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/10/09 17:00:05","KB4462917-Windows10Rs1Client-RTM-X64-TSL-World","200","1537e0af-0d85-401e-a8af-0bb249f1e93a","4462917","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-05 Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4494440)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:06","KB4494440-Windows10Rs1Client-RTM-X64-TSL-World","200","dd00e364-6182-4eb3-b4b3-49d6ca3f9d98","4494440","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-05 Servicing Stack Update for Windows 10 Version 1607 for x64-based Systems (KB4498947)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:06","KB4498947-Windows10Rs1Client-RTM-ServicingStackUpdate-X64-TSL-World","200","3a6194c9-3044-4d95-90d5-78fff03093bf","4498947","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-05 Cumulative Update for .NET Framework 4.8 for Windows 10 Version 1607 for x64 (KB4495610)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:00","KB4495610-DOTNET-X64-TSL","200","a743bc90-9261-4226-8f1d-6a1914e042a3","4495610","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-11 Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB4467691)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2018/11/13 18:00:05","KB4467691-Windows10Rs1Client-RTM-X64-TSL-World","200","6cdb3985-d0f5-45c1-b02d-1c0d0a7a6331","4467691","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
