"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2018-01 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/02/02 22:00:00","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X64-TSL-World","200","2006ec1d-6fbc-45a6-be7d-35f5c65304aa","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/02/07 22:00:05","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X64-TSL-World","200","51cd418f-ad84-4732-b87a-3a305969333e","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/02/28 18:00:05","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X64-TSL-World","202","4bc5ac9a-4127-4b31-9ab5-2a3716574294","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078128)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/01/31 18:00:05","KB4078128-Windows10NextClient-PreRTM-SetupDU-X64-TSL-World","201","450ee7af-341d-43a9-909e-4dc04bbbbb6f","4078128","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078126)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/02/02 22:00:05","KB4078126-Windows10NextClient-PreRTM-CriticalDU-X64-TSL-World","201","de2de36f-e878-433f-8c69-c167b1fbd49d","4078126","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078126)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/02/28 19:00:05","KB4078126-Windows10NextClient-PreRTM-CriticalDU-X64-TSL-World","202","f9d2c654-1bdf-4e5c-9f4f-1cea6d89b4cd","4078126","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078128)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/02/07 22:00:05","KB4078128-Windows10NextClient-PreRTM-SetupDU-X64-TSL-World","200","2a366215-a2b2-4087-8693-f63eb3c715d1","4078128","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078128)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/02/28 18:00:05","KB4078128-Windows10NextClient-PreRTM-SetupDU-X64-TSL-World","202","621f028a-8988-45bb-9c15-db7e2c3af0cd","4078128","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-02 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078126)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/02/07 22:00:05","KB4078126-Windows10NextClient-PreRTM-CriticalDU-X64-TSL-World","200","4f7985cb-5caf-49f2-99d1-34fab33082ef","4078126","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-03 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078127)","Windows 10 and later Dynamic Update
Windows Safe OS Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3
dd1aa213-54e7-4173-8456-b278964a26b6","2018/03/08 18:00:05","KB4078127-Windows10NextClient-PreRTM-SafeOSDU-X64-TSL-World","201","0edbe310-a9cb-43a3-90f9-2958d6e94c4e","4078127","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-03 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078126)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/04/03 19:00:00","KB4078126-Windows10NextClient-PreRTM-CriticalDU-X64-TSL-World","202","c00d2bee-69ca-4a6b-a4fe-567301cf5872","4078126","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2018-03 Dynamic Update for Windows 10 Version Next for x64-based Systems (KB4078128)","Windows 10 and later Dynamic Update","e4b04398-adbd-4b69-93b9-477322331cd3","2018/03/08 18:00:05","KB4078128-Windows10NextClient-PreRTM-SetupDU-X64-TSL-World","201","fcd20ec5-c031-4f25-aa73-606be5b6e567","4078128","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
