"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2019-02 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4483452)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/02/15 20:00:00","KB4483452-DOTNET-X86-TSL","201","f95ceb32-37a1-442d-99d9-9f827046d4b8","4483452","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-01 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4481031)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/02/15 20:00:00","KB4481031-DOTNET-X86-TSL","202","cd3d8c71-91af-4adf-a17b-a976a4bed646","4481031","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-03 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4489192)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/04/02 17:00:00","KB4489192-DOTNET-X86-TSL","204","ea582ae4-7d27-4ee8-8a0c-c015f8e4ea8e","4489192","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-05 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4499405)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:00","KB4499405-DOTNET-X86-TSL","200","66966744-0bf5-4887-9f33-b985aa332c39","4499405","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-02 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4486553)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/03/01 18:00:00","KB4486553-DOTNET-X86-TSL","202","13286b9c-5833-4bca-a0bf-9ef3f47c1720","4486553","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2018-11 Preview of Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4469041)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/02/15 20:00:00","KB4469041-DOTNET-X86-TSL","206","90eb914f-8445-47a5-b824-9fc718596519","4469041","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-06 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4503864)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/06/18 17:00:00","KB4503864-DOTNET-X86-TSL","200","b6fac1e0-1e3a-4d2a-b1e5-509862fb5396","4503864","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-01 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4480056)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:00","KB4480056-DOTNET-X86-TSL","202","d061a900-bf43-4ed6-9de4-3e14a74afecb","4480056","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2018-12 Cumulative Update for .NET Framework 3.5 and 4.7.2 for Windows 10 Version 1809 (KB4470502)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/05/14 17:00:00","KB4470502-DOTNET-X86-TSL","202","d6832e59-d22f-45db-b806-2625ce300f6e","4470502","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-07 Cumulative Update for .NET Framework 3.5, 4.7.2, 4.8 for Windows 10 Version 1809 (KB4507419)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/07/09 17:00:00","KB4507419-DOTNET-X86-TSL","200","d604f041-a062-4d92-b803-450a21f0a00c","4507419","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4516550)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/09/24 17:00:00","KB4516550-DOTNET-X86-TSL","201","a277bbad-d4a6-464a-ab84-b99d102d1879","4516550","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-08 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4512192)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/08/20 17:00:00","KB4512192-DOTNET-X86-TSL","200","46323444-e0c2-4853-8ec3-297f668b94fb","4512192","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-09 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4514601)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/09/10 17:00:00","KB4514601-DOTNET-X86-TSL","200","24479fe4-fba1-4902-a1da-6557812d7bd7","4514601","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2019-10 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4524099)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/10/08 17:00:00","KB4524099-DOTNET-X86-TSL","201","79169bc6-b446-4184-a84c-a48a3740f2c7","4524099","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-10 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4520405)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/10/15 17:00:00","KB4520405-DOTNET-X86-TSL","200","f634efc6-ecf7-456a-b3cc-0413e26f3843","4520405","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2019-12 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4533094)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2019/12/10 18:00:00","KB4533094-DOTNET-X86-TSL","200","3f1cb173-bbc2-44ff-960b-9beb296ce30b","4533094","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2020-01 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4535101)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2020/01/14 18:00:00","KB4535101-DOTNET-X86-TSL","200","4e3bf0bc-6b19-4c97-9519-bcc03a7e9bcf","4535101","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2020-02 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4538122)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2020/02/11 18:00:00","KB4538122-DOTNET-X86-TSL","200","663d8c12-9f5b-4172-993d-c21ddc25b37e","4538122","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2020-01 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4535669)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2020/01/23 22:00:00","KB4535669-DOTNET-X86-TSL","201","1668716d-fd7f-481d-abc0-64dde2e7ff23","4535669","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2020-02 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4538156)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2020/02/25 18:00:00","KB4538156-DOTNET-X86-TSL","202","1056d2ff-68b1-4e02-94d9-a5fb46df1848","4538156","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2020-05 Cumulative Update for .NET Framework 3.5, 4.7.2 and 4.8 for Windows 10 Version 1809 (KB4556441)","Windows 10 LTSB
Windows 10","d2085b71-5f1f-43a9-880d-ed159016d5c6
a3c2375d-0c8a-42f9-bce0-28333e198407","2020/05/12 17:00:00","KB4556441-DOTNET-X86-TSL","201","f6362e1c-fe33-4ad0-9448-f242463fda43","4556441","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
