"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Feature update to Windows 10 (business editions), version 20H2, en-us x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/10/20 17:00:00","","200","545899c1-634b-4d69-b027-ed83fe681c2c","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-gb x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/10/20 17:00:00","","200","d02c67c5-72e8-48fe-ae4a-e8db799b9d2a","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, ja-jp x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/10/20 17:00:00","","200","15f58c40-25cc-491c-8157-9030fd0d3454","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, ja-jp x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/11/09 18:00:00","","200","e50c4515-8356-408c-a326-f323b4b66ede","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-us x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/11/09 18:00:00","","200","8515677b-871b-4c4a-aa9a-2cc0f37b0073","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-gb x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/11/09 18:00:00","","200","a3165c54-5968-4613-9c86-6da2b4dcd041","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-us x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/12/03 18:00:00","","201","d0d36236-5587-494f-85d5-26a519ea7f99","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-gb x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/12/03 18:00:00","","201","740f73fd-e81c-45dc-b756-30e3b0ff1d88","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, ja-jp x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2020/12/03 18:00:00","","201","04407005-16c6-44fd-aa84-3bbc116c5393","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-gb x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2021/07/27 21:00:00","","201","2741de9e-851e-4184-b9e5-d3e83a42f5ff","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, ja-jp x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2021/07/27 21:00:00","","202","63b563d3-dde4-4993-b389-9cbae3011936","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-us x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2021/07/27 21:00:00","","201","d2ba512b-9d4b-4a79-98ee-46d72ba3a29e","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-gb x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2021/11/18 18:00:00","","201","dadd2f8c-3c2f-4391-880b-d3202668f85c","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, ja-jp x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2021/11/18 18:00:00","","201","e374e846-d08d-41aa-93e3-27af8f3ac73d","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-us x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2021/11/18 18:00:00","","201","2aa26960-cb99-48dd-b281-77fdc8b3868a","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, ja-jp x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/05/23 21:00:00","","201","30a64050-accd-4623-9f66-46fa80b4f706","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-gb x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/05/23 21:00:00","","201","e94a51a8-eef6-4a9f-b65a-f29a7120be05","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Feature update to Windows 10 (business editions), version 20H2, en-us x64","Windows 10, version 1903 and later","b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/05/23 21:00:00","","201","40d76066-d29d-42c4-bfa3-a83c40e682b3","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
