"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2022-01 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 21H2 (KB5008876)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/01/11 18:00:00","KB5008876-21H2-Client-x86-Retail","200","cac85bdb-659c-477e-8044-b8df6f506c41","5008876","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 21H2 (KB5009467)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/02/08 18:00:00","KB5009467-21H2-Client-x86-Retail","200","a4394042-1296-49aa-9ced-2d183f3cc39f","5009467","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2022-04 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 21H2 (KB5012117)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/04/12 17:00:00","KB5012117-DotNetCumulative-21H2-Client-x86-Retail","200","c9e9410e-f12f-45cc-90f5-064a6775077e","5012117","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-05 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 21H2 (KB5013624)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/05/10 17:00:00","KB5013624-DotNetCumulative-21H2-Client-x86-Retail","200","231eb56a-ba4a-4153-aa26-ca893c644764","5013624","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-06 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 21H2 (KB5013887)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/06/14 17:00:00","KB5013887-DotNetCumulative-21H2-Client-x86-Retail","200","e838ec6e-5965-4048-b2e0-a88aa9528e0e","5013887","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2022-08 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 10 Version 21H2 (KB5015730)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/08/09 17:00:00","KB5015730-DotNetCumulative-21H2-Client-x86-Retail","200","88478249-f924-43d9-a456-0dc3b871ceb3","5015730","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2022-09 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5017500)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/09/13 17:00:00","KB5017500-DotNetCumulative-21H2-Client-x86-Retail","200","ebeb2506-24fc-44f3-b485-07fa403a2557","5017500","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-10 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5018545)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/10/11 17:00:00","KB5018545-DotNetCumulative-21H2-Client-x86-Retail","200","eb98fa63-b2bc-4d4e-83c5-44663e4fefe1","5018545","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2022-11 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5020687)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/11/08 18:00:00","KB5020687-DotNetCumulative-21H2-Client-x86-Retail","200","2303f97e-a81c-4d76-b514-deec65c08433","5020687","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-12 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Windows 10 Version 21H2 (KB5021088)","Windows 10 LTSB
Windows 10, version 1903 and later","d2085b71-5f1f-43a9-880d-ed159016d5c6
b3c75dc1-155f-4be4-b015-3f1a91758e52","2022/12/13 18:00:00","KB5021088-DotNetCumulative-21H2-Client-x86-Retail","200","7b35783b-04be-4339-ac90-8ee7ca4469b8","5021088","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
