"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2021-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for ARM64 (KB5005537)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/12 17:00:00","KB5005537-DotNetCumulative-Client-arm64-Retail","203","c4b10d7c-a71a-45ed-9158-8039b974246c","5005537","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"Upgrade to Windows 11 (business editions) en-us arm64","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/04 20:00:00","","200","b6fe8151-9b93-4617-b4cb-d2ca86767df3","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Upgrade to Windows 11 (business editions) en-gb arm64","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/04 20:00:00","","201","25a50246-961d-4d2e-bcc3-f81094fe6fca","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Upgrade to Windows 11 (business editions) ja-jp arm64","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/04 20:00:00","","200","2edfe623-43a7-40fc-b8ea-0a46505fa65d","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"2021-10 Cumulative Update for Windows 11 for ARM64-based Systems (KB5006674)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/12 17:03:07","KB5006674-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","201","676e5d2e-62fb-43ee-bd50-64e53a04c59a","5006674","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-10 Dynamic Cumulative Update for Windows 11 for ARM64-based Systems (KB5006674)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2021/10/12 17:03:07","KB5006674-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","201","bbc31b9f-d731-44d6-bd98-2df81ec43238","5006674","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-09 Dynamic Update for Windows 11 for ARM64-based Systems (KB5006587)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2021/09/16 17:00:06","KB5006587-WindowsSV21H2-RTM-SetupDU-ARM64-TSL-World","201","3741e965-3de9-4449-8775-ac37d23b7d9c","5006587","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-11 Cumulative Update for Windows 11 for ARM64-based Systems (KB5007215)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/09 18:00:07","KB5007215-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","1a7e036b-f1f3-408f-b3b5-853ea222de39","5007215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-11 Dynamic Cumulative Update for Windows 11 for ARM64-based Systems (KB5007215)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2021/11/09 18:00:07","KB5007215-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","811e1098-94d0-4644-a785-2aebb90f9f4a","5007215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-11 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for ARM64 (KB5006363)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/09 18:00:00","KB5006363-DotNetCumulative-Client-arm64-Retail","200","a6e11676-048d-421a-87c5-8745e6ceff58","5006363","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"Upgrade to Windows 11 (business editions) ja-jp arm64","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/16 18:00:00","","200","6c12741a-9492-4e1e-a869-c9c8f9a7ebba","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Upgrade to Windows 11 (business editions) en-gb arm64","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/16 18:00:00","","200","e8dafb17-e46c-4f99-9d86-3543c0ebf9c1","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Upgrade to Windows 11 (business editions) en-us arm64","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/16 18:00:00","","200","aef541a9-78a4-4652-942b-ac74c6675bf8","3012973","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"2021-11 Dynamic Update for Windows 11 for ARM64-based Systems (KB5007400)","Windows 11 Dynamic Update
Windows Safe OS Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb
dd1aa213-54e7-4173-8456-b278964a26b6","2021/11/22 22:00:06","KB5007400-WindowsSV21H2-RTM-SafeOSDU-ARM64-TSL-World","203","1230d3dc-7616-4a8a-9731-f7d097bb37cc","5007400","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-11 Dynamic Update for Windows 11 for ARM64-based Systems (KB5007575)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2021/11/22 22:00:06","KB5007575-WindowsSV21H2-RTM-CriticalDU-ARM64-TSL-World","203","f3a57877-61df-4da2-b103-5e0cbd235531","5007575","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-11 Dynamic Update for Windows 11 for ARM64-based Systems (KB5007268)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2021/11/22 22:00:06","KB5007268-WindowsSV21H2-RTM-SetupDU-ARM64-TSL-World","200","ccd985f9-8cc8-4922-917d-429caa24489d","5007268","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-12 Cumulative Update for Windows 11 for ARM64-based Systems (KB5008215)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/12/14 18:00:06","KB5008215-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","db52edcf-b9b5-4bde-b90c-54370234f67b","5008215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-12 Dynamic Cumulative Update for Windows 11 for ARM64-based Systems (KB5008215)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2021/12/14 18:00:06","KB5008215-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","cf140b67-a387-4635-ad2c-d5a83c5825e2","5008215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Dynamic Cumulative Update for Windows 11 for ARM64-based Systems (KB5009566)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2022/01/11 18:00:06","KB5009566-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","e7436fa7-7bf4-448f-9566-8d9b74d3db62","5009566","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Cumulative Update for Windows 11 for ARM64-based Systems (KB5009566)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/01/11 18:00:06","KB5009566-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","b4e5b7e9-31b3-478a-942f-7b1fd5cc2301","5009566","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Dynamic Update for Windows 11 for ARM64-based Systems (KB5009646)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2022/01/25 22:00:06","KB5009646-WindowsSV21H2-RTM-SetupDU-ARM64-TSL-World","203","f40c8c77-2e16-4a6b-bbb9-334d344167e9","5009646","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-01 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for ARM64 (KB5008880)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/01/11 18:00:00","KB5008880-SV-Client-arm64-Retail","200","12794529-64d3-40ac-be26-558503e07072","5008880","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Dynamic Update for Windows 11 for ARM64-based Systems (KB5009644)","Windows 11 Dynamic Update
Windows Safe OS Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb
dd1aa213-54e7-4173-8456-b278964a26b6","2022/01/25 22:00:06","KB5009644-WindowsSV21H2-RTM-SafeOSDU-ARM64-TSL-World","203","6cf7f167-28b0-4b39-8f8b-a15bcea8e9c9","5009644","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-02 Cumulative Update for Windows 11 for ARM64-based Systems (KB5010386)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/02/08 18:00:06","KB5010386-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-ARM64-TSL-World","200","0387c44c-3c89-49b2-bf29-1b92b7ded1bc","5010386","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-02 Dynamic Update for Windows 11 for ARM64-based Systems (KB5010455)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2022/02/15 18:00:06","KB5010455-WindowsSV21H2-RTM-SetupDU-ARM64-TSL-World","200","075b8e91-7741-4948-b6cf-09537e428e0f","5010455","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
