"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"2021-10 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for x64 (KB5005537)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/12 17:00:00","KB5005537-DotNetCumulative-Client-x64-Retail","203","7a127356-1465-4497-8765-1738d242e43d","5005537","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-10 Cumulative Update for Windows 11 for x64-based Systems (KB5006674)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/10/12 17:03:07","KB5006674-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","201","8cf5c03f-1b45-4d8f-a6d6-9fc9a927f92a","5006674","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-10 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5006674)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2021/10/12 17:03:07","KB5006674-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","201","0fae783b-ccbc-44d0-a30c-07a9eb3bc2f8","5006674","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-09 Dynamic Update for Windows 11 for x64-based Systems (KB5006587)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2021/09/16 17:00:06","KB5006587-WindowsSV21H2-RTM-SetupDU-X64-TSL-World","201","ddc60c3b-9934-4d09-bc9d-04430e54c84c","5006587","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-11 Cumulative Update for Windows 11 for x64-based Systems (KB5007215)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/09 18:00:07","KB5007215-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","4ecc60a2-2dd3-4673-8c07-b9922334f6d8","5007215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-11 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5007215)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2021/11/09 18:00:07","KB5007215-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","e32d84b0-404b-4cbe-bd50-9c280507c64c","5007215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-11 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for x64 (KB5006363)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/11/09 18:00:00","KB5006363-DotNetCumulative-Client-x64-Retail","200","d7a59bbe-7971-4496-a59c-c1a7289ec6a8","5006363","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2021-11 Dynamic Update for Windows 11 for x64-based Systems (KB5007575)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2021/11/22 22:00:06","KB5007575-WindowsSV21H2-RTM-CriticalDU-X64-TSL-World","203","0543c571-2166-4c6e-a7f5-fc888a9a6d96","5007575","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-11 Dynamic Update for Windows 11 for x64-based Systems (KB5007400)","Windows 11 Dynamic Update
Windows Safe OS Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb
dd1aa213-54e7-4173-8456-b278964a26b6","2021/11/22 22:00:06","KB5007400-WindowsSV21H2-RTM-SafeOSDU-X64-TSL-World","203","632a604e-75f0-44cf-83c0-6677eaf3738a","5007400","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-11 Dynamic Update for Windows 11 for x64-based Systems (KB5007268)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2021/11/22 22:00:06","KB5007268-WindowsSV21H2-RTM-SetupDU-X64-TSL-World","200","17be039a-1e0d-4ff9-9d31-3acf4d8966b8","5007268","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2021-12 Cumulative Update for Windows 11 for x64-based Systems (KB5008215)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2021/12/14 18:00:06","KB5008215-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","d657015b-8ec8-49ea-9802-6ba83ab978e2","5008215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2021-12 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5008215)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2021/12/14 18:00:06","KB5008215-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","ea1658a5-5cfb-47f7-a668-238d2f1a4bf7","5008215","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Cumulative Update for Windows 11 for x64-based Systems (KB5009566)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/01/11 18:00:06","KB5009566-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","e2ad983b-4ada-44ed-a1fd-748fbf935fb0","5009566","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for x64 (KB5008880)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/01/11 18:00:00","KB5008880-SV-Client-x64-Retail","200","f29d90ec-9a37-42fb-82b6-5cf625b49abb","5008880","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5009566)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2022/01/11 18:00:06","KB5009566-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","f97a75ad-b1f6-4b06-b6c8-0c6eff8286b1","5009566","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-01 Dynamic Update for Windows 11 for x64-based Systems (KB5009644)","Windows 11 Dynamic Update
Windows Safe OS Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb
dd1aa213-54e7-4173-8456-b278964a26b6","2022/01/25 22:00:06","KB5009644-WindowsSV21H2-RTM-SafeOSDU-X64-TSL-World","203","aa2f189e-4570-4ec5-832c-11505038f299","5009644","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-01 Dynamic Update for Windows 11 for x64-based Systems (KB5009646)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2022/01/25 22:00:06","KB5009646-WindowsSV21H2-RTM-SetupDU-X64-TSL-World","203","2ce4eba8-7dac-497f-9ba3-190151a13510","5009646","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-02 Dynamic Update for Windows 11 for x64-based Systems (KB5010455)","Windows 11 Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb","2022/02/15 18:00:06","KB5010455-WindowsSV21H2-RTM-SetupDU-X64-TSL-World","200","a776aad1-73b0-4136-8027-7fc0e319aef8","5010455","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-02 Cumulative Update for Windows 11 for x64-based Systems (KB5010386)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/02/08 18:00:06","KB5010386-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","b975b9b2-6309-438e-9e7c-a7f17bb73d9b","5010386","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-02 Cumulative Update for .NET Framework 3.5 and 4.8 for Windows 11 for x64 (KB5009469)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/02/08 18:00:00","KB5009469-SV-Client-x64-Retail","200","3846373a-0289-4a96-9735-3dafe8f4c940","5009469","","Updates","cd5ffd1e-e932-4e3a-bf74-18bf0b1bbd83","Windows","Software",""
"2022-02 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5010386)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2022/02/08 18:00:06","KB5010386-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","a1b6c9be-d199-4bef-9981-3faf1a3d4cde","5010386","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-03 Dynamic Update for Windows 11 for x64-based Systems (KB5012414)","Windows 11 Dynamic Update
Windows Safe OS Dynamic Update","ab1852d6-15fd-4bf0-acd1-d276a5ea82fb
dd1aa213-54e7-4173-8456-b278964a26b6","2022/03/08 18:00:06","KB5012414-WindowsSV21H2-RTM-SafeOSDU-X64-TSL-World","200","406096b0-d996-4170-b9dc-86cfbf74a543","5012414","","Critical Updates","e6cf1350-c01b-414d-a61f-263d14d133b4","Windows","Software",""
"2022-03 Dynamic Cumulative Update for Windows 11 for x64-based Systems (KB5011493)","Windows 11 GDR-DU","b6ea7c03-5339-4d45-a215-314a05fe37e0","2022/03/08 18:00:06","KB5011493-WindowsSV21H2-GDR-DU-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","f2b0ba9f-fbb6-4d4c-83ef-430778c44766","5011493","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
"2022-03 Cumulative Update for Windows 11 for x64-based Systems (KB5011493)","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2022/03/08 18:00:06","KB5011493-WindowsSV21H2-RTM-UnifiedCumulativeSecurity-X64-TSL-World","200","f7a60bf7-e59b-4d2c-92ba-5fe0af0e8ff7","5011493","","Security Updates","0fa1201d-4330-4fa8-8ae9-b877473b6441","Windows","Software",""
