"Title","ProductTitles","ProductIds","CreationDate","LegacyName","Id.RevisionNumber","Id.UpdateId","KnowledgebaseArticles","SecurityBulletins","UpdateClassificationTitle","UpdateClassificationId","ProductFamilyTitles","UpdateType","Action"
"Windows 11, version 22H2 x64 2023-03B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/03/28 17:00:01","UUPv1","100","d556e191-a14f-404b-b5dd-888ca336b9bf","5023706","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-04B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/04/11 17:00:00","UUPv1","100","5dd05344-3db5-43de-b2ae-e60bc6bd140e","5025239","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-05B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/05/09 17:00:00","UUPv1","100","365476a8-4201-4d18-a70a-9e418a8b536d","5026372","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-06B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/06/13 17:00:00","UUPv1","100","5e12eeb3-7af6-47bd-ab0e-c6c08a49ab0a","5027231","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-07B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/07/11 17:00:00","UUPv1","100","18f1e5f3-d4c0-4e01-a28f-9af15dd5911a","5028185","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-08B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/08/08 17:00:00","UUPv1","100","01bc1802-8824-4df8-85f5-7caef74c550b","5029263","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-09B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/09/12 17:00:00","UUPv1","100","94f5fc80-4397-4da7-857a-8e28a37a113b","5030219","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-10B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/10/10 17:00:00","UUPv1","100","21434c8b-f472-41bf-a1f4-baf57841bcda","5031354","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-11B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/11/14 18:00:00","UUPv1","100","402c1c3e-4552-4127-ab75-7ad6aeed1b4e","5032190","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2023-12B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2023/12/12 18:00:00","UUPv1","100","9dd72d8f-3aa5-434a-b9f0-b80b9b78601b","5033375","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2024-01B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2024/01/09 18:00:00","UUPv1","100","ff52deb6-e423-423c-8c35-e03f32674b11","5034123","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2024-02B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2024/02/13 18:00:00","UUPv1","100","634eebeb-3e8a-4a25-a408-186b5f2c5aca","5034765","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
"Windows 11, version 22H2 x64 2024-03B","Windows 11","72e7624a-5b00-45d2-b92f-e561c0a6a160","2024/03/12 17:00:00","UUPv1","100","099a1b34-c91a-4173-9330-31bb033aac2f","5035853","","Upgrades","3689bdc8-b205-4af4-8d4a-a63924c5e9d5","Windows","Software",""
